,Year,Player,mvp,G!,MP!,FG!,3P!,FT!,ORB!,DRB!,TRB!,AST!,STL!,BLK!,TOV!,PF!,PTS!,FG%!,3P%!,FT%!
224,1996,Michael Jordan,True,1,1,1,3,1,4,3,3,2,2,5,8,5,1,5,2,3
225,1996,Scottie Pippen,False,1,2,2,2,2,2,2,2,1,1,2,4,6,2,7,5,6
226,1996,Toni KukoÄ,False,1,4,3,1,6,3,4,4,3,3,3,4,4,3,4,3,4
227,1996,Luc Longley,False,1,5,4,7,3,5,5,5,5,7,1,7,7,4,1,7,5
228,1996,Dennis Rodman,False,1,3,5,7,4,1,1,1,4,3,5,4,8,5,3,7,7
229,1996,Ron Harper,False,1,6,6,4,4,6,6,6,6,5,3,1,1,6,6,4,1
230,1996,Steve Kerr,False,1,7,7,4,7,7,7,7,7,8,7,3,1,7,8,6,2
231,1996,Randy Brown,False,1,8,8,6,8,8,8,8,7,5,7,1,3,8,2,1,8
232,1995,Hakeem Olajuwon,True,1,2,1,6,3,2,1,1,2,2,2,8,8,1,3,1,6
233,1995,Clyde Drexler,False,1,3,2,5,1,1,3,3,1,5,4,5,6,2,5,6,5
234,1995,Robert Horry,False,1,1,4,1,4,3,2,2,4,1,1,4,3,3,6,5,7
235,1995,Mario Elie,False,1,4,3,2,5,4,4,4,5,2,5,7,3,4,1,2,3
236,1995,Sam Cassell,False,1,6,5,4,2,7,6,6,6,4,5,5,3,5,7,3,4
237,1995,Kenny Smith,False,1,5,6,2,8,6,8,6,3,6,5,3,2,6,8,4,8
238,1995,Chucky Brown,False,1,8,7,7,6,5,5,5,7,7,3,1,1,7,4,7,1
239,1995,Charles Jones,False,1,7,8,7,6,7,6,6,7,7,5,1,7,8,2,7,1
240,1994,Hakeem Olajuwon,True,1,1,1,6,1,2,2,2,2,1,1,8,8,1,3,1,3
241,1994,Vernon Maxwell,False,1,4,2,2,3,6,4,5,5,6,6,7,3,2,6,6,6
242,1994,Robert Horry,False,1,3,4,1,4,2,3,3,1,2,2,4,7,3,7,5,7
243,1994,Sam Cassell,False,1,6,6,3,2,5,6,6,5,2,3,6,5,4,4,2,2
244,1994,Otis Thorpe,False,1,2,3,7,5,1,1,1,3,4,6,3,6,5,2,7,8
245,1994,Carl Herrera,False,1,7,5,7,6,4,5,4,8,7,4,2,4,6,1,7,5
246,1994,Kenny Smith,False,1,5,7,4,6,8,7,7,4,5,6,5,2,7,5,4,1
247,1994,Mario Elie,False,1,8,8,5,8,6,8,8,7,8,4,1,1,8,8,3,4
248,1993,Michael Jordan,True,1,1,1,1,1,3,3,3,2,2,4,7,6,1,4,4,2
249,1993,Scottie Pippen,False,1,2,2,5,2,2,1,2,1,1,3,8,4,2,6,5,4
250,1993,B.J. Armstrong,False,1,3,3,1,4,7,6,6,3,4,5,4,7,3,4,3,1
251,1993,Horace Grant,False,1,4,4,5,3,1,2,1,4,3,1,4,8,4,3,5,3
252,1993,John Paxson,False,1,7,5,3,7,6,7,7,7,5,5,1,2,5,2,1,7
253,1993,Scott Williams,False,1,5,5,5,5,4,4,4,5,5,1,6,4,6,7,5,6
254,1993,Bill Cartwright,False,1,6,7,5,5,5,5,5,5,5,5,3,3,7,8,5,5
255,1993,Trent Tucker,False,1,8,8,4,7,8,8,8,8,8,8,1,1,8,1,2,7
256,1992,Michael Jordan,True,1,1,1,1,1,5,4,4,2,1,4,8,5,1,3,1,1
257,1992,Scottie Pippen,False,1,2,2,3,2,1,2,1,1,2,3,7,5,2,6,4,2
258,1992,John Paxson,False,1,4,3,2,8,8,7,7,4,3,7,4,3,3,4,2,4
259,1992,Horace Grant,False,1,3,4,5,3,3,1,2,3,4,1,3,4,4,1,5,6
260,1992,Bill Cartwright,False,1,5,5,5,5,3,5,5,6,5,5,6,5,5,5,5,7
261,1992,B.J. Armstrong,False,1,7,6,4,7,7,8,7,5,6,7,5,2,6,8,3,5
262,1992,Scott Williams,False,1,6,7,5,4,2,3,3,7,7,2,2,5,7,2,5,3
263,1992,Cliff Levingston,False,1,8,8,5,6,5,6,6,8,7,5,1,1,8,7,5,7
264,1991,Michael Jordan,True,1,1,1,1,1,3,2,3,1,1,1,7,7,1,4,1,3
265,1991,Scottie Pippen,False,1,2,2,2,2,1,1,1,2,2,2,8,8,2,6,3,2
266,1991,Horace Grant,False,1,3,3,5,3,2,2,2,5,3,4,6,3,3,2,5,4
267,1991,John Paxson,False,1,5,3,2,5,6,6,6,3,4,6,3,3,4,1,2,1
268,1991,Bill Cartwright,False,1,4,5,5,4,4,4,4,4,6,4,5,6,5,7,5,5
269,1991,Craig Hodges,False,1,7,6,2,6,8,7,7,8,8,6,3,2,6,8,4,6
270,1991,Cliff Levingston,False,1,6,7,5,6,4,5,5,7,4,2,1,5,7,3,5,6
271,1991,B.J. Armstrong,False,1,8,8,5,6,7,8,7,6,7,6,1,1,8,5,5,6
272,1990,Isiah Thomas,True,1,2,1,1,2,3,2,3,1,1,5,8,6,1,2,1,4
273,1990,Joe Dumars,False,1,1,2,4,1,8,7,7,2,3,7,7,1,2,6,4,2
274,1990,James Edwards,False,1,5,3,5,3,3,6,5,5,4,2,3,7,3,3,5,7
275,1990,Bill Laimbeer,False,1,3,5,2,6,2,1,1,3,2,2,1,8,4,4,3,1
276,1990,Vinnie Johnson,False,1,7,4,5,5,5,8,8,4,7,2,6,1,5,1,5,3
277,1990,Mark Aguirre,False,1,6,6,3,3,6,5,6,5,4,7,4,3,6,8,2,6
278,1990,John Salley,False,1,4,7,5,7,1,4,2,8,7,1,2,5,7,7,5,5
279,1990,Dennis Rodman,False,8,8,8,5,8,6,3,4,7,4,5,4,4,8,4,5,8
280,1989,Joe Dumars,True,1,1,1,4,1,8,8,8,2,2,4,6,1,1,3,4,1
281,1989,Isiah Thomas,False,1,2,2,1,2,6,5,6,1,1,4,8,3,2,6,2,3
282,1989,Vinnie Johnson,False,1,6,3,3,4,4,4,5,3,7,4,2,2,3,2,3,7
283,1989,James Edwards,False,1,5,5,4,3,2,5,4,8,7,2,4,7,4,7,4,4
284,1989,Bill Laimbeer,False,1,7,5,1,5,4,1,2,4,2,7,4,6,5,5,1,2
285,1989,Mark Aguirre,False,1,3,5,4,5,1,2,1,5,2,7,7,3,6,8,4,4
286,1989,John Salley,False,1,8,4,4,7,6,5,6,6,5,1,2,5,6,1,4,8
287,1989,Rick Mahorn,False,1,4,8,4,7,2,2,2,7,5,2,1,8,8,4,4,6
288,1988,James Worthy,True,1,3,1,4,2,1,3,2,2,4,2,7,3,1,5,4,4
289,1988,Magic Johnson,False,1,1,3,3,1,6,2,3,1,1,6,8,8,2,3,2,2
290,1988,Byron Scott,False,1,2,2,1,3,4,4,4,4,2,3,6,4,3,6,1,3
291,1988,Kareem Abdul-Jabbar,False,1,5,4,4,5,4,5,5,5,5,1,5,5,4,7,4,6
292,1988,A.C. Green,False,1,4,5,4,4,2,1,1,6,6,7,3,5,5,2,4,5
293,1988,Mychal Thompson,False,1,7,6,4,6,3,6,6,7,7,3,4,2,6,4,4,8
294,1988,Michael Cooper,False,1,6,7,2,7,7,7,7,3,3,5,2,5,7,8,3,7
295,1988,Tony Campbell,False,8,8,8,4,8,8,8,8,8,7,7,1,1,8,1,4,1
296,1987,Magic Johnson,True,1,2,1,2,2,3,1,1,1,1,4,7,1,1,2,2,2
297,1987,Kareem Abdul-Jabbar,False,1,3,3,4,1,1,2,2,5,5,1,5,6,2,5,4,7
298,1987,James Worthy,False,1,1,2,4,4,3,4,3,3,2,3,6,3,3,4,4,8
299,1987,Michael Cooper,False,1,5,5,1,8,8,6,8,2,2,4,7,4,4,3,1,1
300,1987,Byron Scott,False,1,4,4,2,4,6,7,6,4,5,7,4,6,5,7,3,3
301,1987,Mychal Thompson,False,1,6,6,4,3,5,3,4,6,4,2,2,8,6,1,4,5
302,1987,A.C. Green,False,1,7,7,4,6,1,5,4,8,7,4,3,5,7,6,4,6
303,1987,Kurt Rambis,False,1,8,8,4,7,7,7,7,7,8,8,1,2,8,8,4,4
304,1986,Kevin McHale,False,1,3,1,4,1,1,2,2,4,4,1,8,7,1,3,4,4
305,1986,Larry Bird,True,1,1,2,1,3,5,1,1,1,1,4,6,5,2,5,2,1
306,1986,Dennis Johnson,False,1,2,4,3,2,4,4,5,3,3,4,7,4,3,7,3,3
307,1986,Danny Ainge,False,1,4,3,2,4,6,6,6,2,2,6,4,8,4,4,1,2
308,1986,Robert Parish,False,1,5,5,4,5,2,5,3,7,5,2,4,3,5,8,4,5
309,1986,Bill Walton,False,1,6,6,4,6,3,3,4,4,5,3,3,5,6,2,4,5
310,1986,Jerry Sichting,False,1,7,7,4,7,7,7,7,4,7,7,2,2,7,6,4,7
311,1986,Rick Carlisle,False,8,8,8,4,7,8,8,8,8,7,7,1,1,8,1,4,7
312,1985,Kareem Abdul-Jabbar,True,1,3,1,4,3,1,2,1,2,5,1,7,8,1,1,4,3
313,1985,James Worthy,False,1,2,2,4,1,3,4,4,4,6,2,4,1,2,3,4,5
314,1985,Magic Johnson,False,1,1,3,3,2,6,1,3,1,2,8,8,4,3,6,1,2
315,1985,Byron Scott,False,1,4,4,1,7,4,5,5,5,1,6,4,1,4,7,2,7
316,1985,Michael Cooper,False,1,5,6,1,4,8,8,8,3,4,5,2,4,5,2,2,1
317,1985,Bob McAdoo,False,1,7,5,4,7,6,6,7,6,8,2,6,7,6,8,4,4
318,1985,Kurt Rambis,False,1,6,7,4,6,2,3,2,6,3,2,3,1,7,5,4,8
319,1985,Mitch Kupchak,False,1,8,8,4,5,4,7,6,8,7,6,1,6,8,4,4,6
320,1984,Larry Bird,True,1,1,1,1,1,2,1,1,3,1,2,8,4,1,1,1,3
321,1984,Dennis Johnson,False,1,3,2,3,3,7,5,5,1,2,4,7,7,2,8,2,1
322,1984,Robert Parish,False,1,2,3,5,5,1,2,2,7,2,1,4,8,3,6,5,6
323,1984,Kevin McHale,False,1,5,5,5,4,3,3,3,8,7,2,3,4,4,5,5,4
324,1984,Cedric Maxwell,False,1,4,6,5,2,4,4,4,4,5,4,4,4,5,4,5,2
325,1984,Gerald Henderson,False,1,6,4,5,6,6,7,7,2,4,6,4,3,6,2,5,5
326,1984,Danny Ainge,False,1,7,7,3,7,8,8,8,5,6,6,1,2,7,7,4,7
327,1984,Scott Wedman,False,8,8,8,2,8,5,6,5,6,8,6,2,1,8,3,2,8
328,1983,Moses Malone,True,1,1,1,1,1,1,1,1,5,3,3,6,7,1,4,1,5
329,1983,Andrew Toney,False,1,3,2,1,2,5,8,6,2,4,5,8,5,2,6,1,1
330,1983,Julius Erving,False,1,2,2,1,3,2,2,2,3,4,1,5,5,3,5,1,2
331,1983,Maurice Cheeks,False,1,4,4,1,4,8,6,6,1,1,8,6,4,4,3,1,6
332,1983,Bobby Jones,False,1,5,5,1,5,2,4,4,4,2,2,4,2,5,2,1,4
333,1983,Clint Richardson,False,1,7,6,1,6,6,5,5,7,4,5,2,2,6,7,1,3
334,1983,Marc Iavaroni,False,1,6,7,1,6,4,3,3,5,7,4,3,7,7,1,1,7
335,1983,Clemon Johnson,False,8,8,8,1,8,6,7,6,8,7,5,1,1,8,8,1,8
336,1982,Jamaal Wilkes,False,1,3,1,2,3,2,6,4,5,3,7,7,4,1,8,2,2
337,1982,Kareem Abdul-Jabbar,False,1,4,3,2,2,4,2,2,3,4,1,6,4,2,4,2,6
338,1982,Norm Nixon,False,1,2,2,2,4,5,7,7,1,2,6,5,2,3,7,2,4
339,1982,Bob McAdoo,False,1,5,4,2,4,5,3,5,7,6,2,3,7,4,1,2,5
340,1982,Magic Johnson,True,1,1,5,2,1,1,1,1,2,1,4,8,8,5,3,2,1
341,1982,Michael Cooper,False,1,6,5,1,6,7,5,6,4,4,4,4,2,6,2,1,2
342,1982,Kurt Rambis,False,1,7,7,2,7,2,3,3,6,6,3,2,4,7,5,2,7
343,1982,Mike McGee,False,8,8,8,2,8,8,8,8,8,8,7,1,1,8,6,2,8
344,1981,Cedric Maxwell,True,1,2,1,3,1,1,3,2,3,7,2,6,7,1,1,3,5
345,1981,Larry Bird,False,1,1,2,2,3,2,1,1,1,1,4,6,5,2,7,1,3
346,1981,Robert Parish,False,1,5,2,3,4,2,2,3,6,2,1,6,8,3,4,3,7
347,1981,Chris Ford,False,1,4,4,1,6,4,5,5,4,3,7,4,3,4,5,2,4
348,1981,Tiny Archibald,False,1,3,5,3,2,8,6,8,2,3,7,5,3,5,8,3,1
349,1981,Rick Robey,False,1,7,6,3,5,5,4,4,8,8,6,3,6,6,2,3,8
350,1981,Gerald Henderson,False,1,8,6,3,8,5,7,6,5,3,5,2,1,7,3,3,2
351,1981,M.L. Carr,False,1,6,8,3,7,5,7,6,6,3,3,1,1,8,6,3,6
352,1980,Kareem Abdul-Jabbar,False,7,4,1,1,2,3,1,1,5,6,1,6,4,1,3,1,5
353,1980,Magic Johnson,True,1,1,3,1,1,2,2,2,1,1,4,8,2,2,2,1,2
354,1980,Jamaal Wilkes,False,1,3,2,1,4,1,5,3,4,4,6,4,8,3,5,1,3
355,1980,Norm Nixon,False,1,2,4,1,3,7,6,7,2,2,6,7,3,4,6,1,6
356,1980,Michael Cooper,False,1,5,5,1,5,6,7,6,3,3,2,3,6,5,8,1,4
357,1980,Jim Chones,False,1,5,6,1,6,4,3,4,6,4,2,5,6,6,4,1,7
358,1980,Mark Landsberger,False,1,7,7,1,8,4,4,5,7,6,4,2,5,7,7,1,8
359,1980,Brad Holland,False,8,8,8,1,7,8,8,8,7,6,8,1,1,8,1,1,1
360,1979,Gus Williams,False,1,4,1,1,1,4,6,6,3,5,3,7,3,1,2,1,5
361,1979,Dennis Johnson,True,1,1,2,1,2,5,3,4,2,1,2,7,5,2,6,1,2
362,1979,Jack Sikma,False,1,2,3,1,4,3,1,1,5,3,1,5,7,3,1,1,4
363,1979,John Johnson,False,1,3,4,1,3,1,2,2,1,3,7,6,4,4,7,1,3
364,1979,Fred Brown,False,1,7,6,1,5,7,7,7,4,5,3,3,2,5,4,1,1
365,1979,Lonnie Shelton,False,1,5,5,1,6,1,4,3,6,2,3,4,8,6,8,1,6
366,1979,Paul Silas,False,1,6,7,1,7,6,5,5,7,7,3,2,5,7,5,1,6
367,1979,Dennis Awtrey,False,8,8,8,1,8,8,8,8,8,7,7,1,1,8,2,1,8
368,1978,Elvin Hayes,False,1,2,1,1,3,1,2,1,6,2,1,7,8,1,3,1,7
369,1978,Bob Dandridge,False,1,1,2,1,2,4,3,3,2,4,2,8,7,2,4,1,6
370,1978,Kevin Grevey,False,1,5,3,1,4,5,5,5,5,7,3,4,5,3,7,1,2
371,1978,Tom Henderson,False,1,4,5,1,1,7,6,6,1,1,3,4,4,4,5,1,3
372,1978,Charles Johnson,False,1,6,4,1,7,6,7,7,4,2,7,3,1,5,6,1,3
373,1978,Mitch Kupchak,False,1,7,5,1,5,3,4,4,8,8,5,6,3,5,1,1,5
374,1978,Wes Unseld,True,1,3,7,1,6,2,1,2,3,5,6,2,6,7,2,1,8
375,1978,Larry Wright,False,1,8,8,1,8,8,8,8,6,6,7,1,1,8,8,1,1
376,1977,Maurice Lucas,False,1,2,3,1,1,3,2,2,4,1,2,1,8,1,5,1,6
377,1977,Bill Walton,True,1,1,1,1,4,1,1,1,1,5,1,1,6,2,2,1,4
378,1977,Bob Gross,False,1,5,2,1,6,2,4,4,4,1,4,1,7,3,1,1,1
379,1977,Lionel Hollins,False,1,3,4,1,2,6,6,6,3,4,4,1,5,4,8,1,7
380,1977,Johnny Davis,False,1,4,5,1,3,5,5,5,2,1,7,1,4,5,6,1,3
381,1977,Lloyd Neal,False,1,7,6,1,7,4,3,3,6,8,3,1,2,6,3,1,5
382,1977,Dave Twardzik,False,1,6,7,1,5,8,7,7,7,5,6,1,2,6,4,1,8
383,1977,Herm Gilliam,False,8,8,8,1,8,7,8,8,7,7,7,1,1,8,7,1,2
384,1976,Jo Jo White,True,1,1,2,1,1,6,3,5,1,2,6,1,5,1,4,1,3
385,1976,Dave Cowens,False,1,2,1,1,2,2,1,1,3,3,2,1,7,2,2,1,8
386,1976,John Havlicek,False,1,3,3,1,2,4,5,4,2,5,1,1,4,3,7,1,7
387,1976,Charlie Scott,False,1,5,4,1,4,3,3,3,3,1,2,1,8,4,8,1,4
388,1976,Paul Silas,False,1,4,5,1,4,1,2,2,5,3,6,1,6,5,3,1,6
389,1976,Steve Kuberski,False,1,6,6,1,6,5,6,6,7,7,5,1,3,6,5,1,1
390,1976,Don Nelson,False,1,7,7,1,7,6,7,7,8,6,6,1,1,7,6,1,1
391,1976,Jim Ard,False,8,8,7,1,8,6,8,8,6,7,2,1,1,8,1,1,5
392,1975,Rick Barry,True,1,1,1,1,1,5,5,5,1,1,3,1,5,1,4,1,2
393,1975,Jamaal Wilkes,False,1,3,2,1,3,2,1,2,7,3,3,1,2,2,8,1,3
394,1975,Phil Smith,False,1,5,4,1,2,4,7,8,3,7,2,1,7,3,5,1,4
395,1975,Derrek Dickey,False,1,8,3,1,7,5,3,3,8,8,7,1,5,4,1,1,1
396,1975,Jeff Mullins,False,1,6,4,1,8,3,8,6,6,6,5,1,1,5,3,1,8
397,1975,Charles Johnson,False,1,4,6,1,5,7,4,4,4,4,5,1,3,6,7,1,6
398,1975,Butch Beard,False,1,7,8,1,4,8,5,6,4,2,7,1,8,7,6,1,5
399,1975,Clifford Ray,False,1,2,7,1,5,1,2,1,2,4,1,1,4,8,2,1,7
400,1974,John Havlicek,True,1,1,1,1,1,4,3,3,2,2,4,1,6,1,6,1,3
401,1974,Dave Cowens,False,1,3,2,1,2,1,1,1,3,4,1,1,8,2,5,1,5
402,1974,Jo Jo White,False,1,2,3,1,5,5,5,6,1,3,4,1,3,3,1,1,6
403,1974,Don Chaney,False,1,4,4,1,3,2,6,5,5,1,1,1,7,4,3,1,2
404,1974,Paul Silas,False,1,5,5,1,4,3,1,2,4,4,3,1,2,5,8,1,4
405,1974,Don Nelson,False,1,6,5,1,6,7,4,4,7,7,4,1,3,6,2,1,8
406,1974,Paul Westphal,False,1,7,7,1,7,8,7,8,6,6,4,1,5,7,7,1,7
407,1974,Hank Finkel,False,1,8,8,1,8,6,8,7,8,7,4,1,1,8,4,1,1
408,1973,Bill Bradley,False,1,2,1,1,1,1,1,5,3,1,1,1,4,1,5,1,1
409,1973,Walt Frazier,False,1,1,3,1,1,1,1,3,1,1,1,1,5,2,4,1,7
410,1973,Willis Reed,True,1,5,2,1,6,1,1,2,5,1,1,1,8,3,3,1,2
411,1973,Earl Monroe,False,1,4,4,1,3,1,1,7,2,1,1,1,2,4,1,1,6
412,1973,Dave DeBusschere,False,1,3,5,1,3,1,1,1,6,1,1,1,7,5,6,1,4
413,1973,Phil Jackson,False,1,6,7,1,5,1,1,4,6,1,1,1,5,6,8,1,3
414,1973,Jerry Lucas,False,1,7,6,1,7,1,1,6,4,1,1,1,3,7,7,1,4
415,1973,Dean Meminger,False,1,8,8,1,8,1,1,8,8,1,1,1,1,8,2,1,8
416,1972,Gail Goodrich,False,1,5,1,1,1,1,1,6,2,1,1,1,8,1,3,1,3
417,1972,Jerry West,False,1,3,3,1,2,1,1,5,1,1,1,1,3,2,7,1,4
418,1972,Wilt Chamberlain,True,1,1,2,1,4,1,1,1,2,1,1,1,7,3,1,1,7
419,1972,Jim McMillian,False,1,2,4,1,3,1,1,3,4,1,1,1,6,4,6,1,2
420,1972,Happy Hairston,False,1,4,5,1,5,1,1,2,4,1,1,1,4,5,4,1,5
421,1972,Pat Riley,False,1,6,6,1,6,1,1,7,7,1,1,1,4,6,8,1,6
422,1972,Leroy Ellis,False,1,7,7,1,7,1,1,3,6,1,1,1,2,7,2,1,8
423,1972,Flynn Robinson,False,8,8,8,1,7,1,1,8,8,1,1,1,1,8,5,1,1
424,1971,Kareem Abdul-Jabbar,True,1,1,1,1,2,1,1,1,3,1,1,1,4,1,1,1,5
425,1971,Oscar Robertson,False,1,2,3,1,1,1,1,4,1,1,1,1,8,2,3,1,4
426,1971,Bob Dandridge,False,1,3,2,1,3,1,1,2,2,1,1,1,7,3,4,1,6
427,1971,Jon McGlocklin,False,1,5,5,1,5,1,1,8,3,1,1,1,3,4,2,1,2
428,1971,Greg Smith,False,1,4,4,1,7,1,1,3,5,1,1,1,4,5,5,1,7
429,1971,Lucius Allen,False,1,6,6,1,4,1,1,6,5,1,1,1,2,6,7,1,1
430,1971,Bob Boozer,False,1,7,7,1,6,1,1,5,7,1,1,1,4,7,6,1,3
431,1971,McCoy McLemore,False,8,8,8,1,8,1,1,7,7,1,1,1,1,8,8,1,7
432,1970,Willis Reed,True,8,5,2,1,3,1,1,2,5,1,1,1,4,1,3,1,8
433,1970,Dave DeBusschere,False,1,3,1,1,4,1,1,1,4,1,1,1,6,2,4,1,7
434,1970,Dick Barnett,False,1,2,3,1,2,1,1,7,2,1,1,1,8,3,5,1,5
435,1970,Walt Frazier,False,1,1,4,1,1,1,1,3,1,1,1,1,5,4,1,1,6
436,1970,Bill Bradley,False,1,4,5,1,5,1,1,5,3,1,1,1,7,5,7,1,3
437,1970,Cazzie Russell,False,1,6,6,1,6,1,1,6,7,1,1,1,2,6,2,1,1
438,1970,Dave Stallworth,False,1,7,7,1,6,1,1,4,6,1,1,1,1,7,6,1,1
439,1970,Mike Riordan,False,1,8,8,1,8,1,1,8,7,1,1,1,2,8,8,1,4
440,1969,John Havlicek,False,1,1,1,1,1,1,1,2,2,1,1,1,4,1,3,1,4
441,1969,Sam Jones,False,1,4,2,1,3,1,1,6,5,1,1,1,2,2,1,1,5
442,1969,Larry Siegfried,False,1,6,3,1,2,1,1,7,3,1,1,1,7,3,7,1,2
443,1969,Don Nelson,False,1,7,4,1,3,1,1,3,6,1,1,1,3,4,4,1,6
444,1969,Em Bryant,False,1,3,5,1,5,1,1,5,4,1,1,1,5,5,5,1,3
445,1969,Bailey Howell,False,1,5,5,1,7,1,1,4,7,1,1,1,8,6,8,1,7
446,1969,Bill Russell,False,1,1,7,1,6,1,1,1,1,1,1,1,6,7,6,1,8
447,1969,Tom Sanders,False,8,8,8,1,8,1,1,8,8,1,1,1,1,8,2,1,1
