,Year,Team,MVP,Player,mvp,prob_mvp,Rank,Correct,logo_url
0,2024,Boston Celtics,Jaylen Brown,Jayson Tatum,False,0.86,1,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/BOS-2024.png
1,2023,Denver Nuggets,Nikola Jokic,Nikola Jokic,True,0.72,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/DEN-2023.png
2,2023,Denver Nuggets,Nikola Jokic,Jamal Murray,False,0.64,2,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/DEN-2023.png
3,2022,Golden State Warriors,Stephen Curry,Stephen Curry,True,0.85,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/GSW-2022.png
4,2021,Milwaukee Bucks,Giannis Antetokounmpo,Giannis Antetokounmpo,True,0.87,2,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/MIL-2021.png
5,2021,Milwaukee Bucks,Giannis Antetokounmpo,Khris Middleton,False,0.89,1,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/MIL-2021.png
6,2020,Los Angeles Lakers,LeBron James,LeBron James,True,0.99,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/LAL-2020.png
7,2020,Los Angeles Lakers,LeBron James,Anthony Davis,False,0.91,2,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/LAL-2020.png
8,2019,Toronto Raptors,Kawhi Leonard,Kawhi Leonard,True,0.76,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/TOR-2019.png
9,2019,Toronto Raptors,Kawhi Leonard,Pascal Siakam,False,0.69,2,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/TOR-2019.png
10,2018,Golden State Warriors,Kevin Durant,Kevin Durant,True,0.91,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/GSW-2018.png
11,2017,Golden State Warriors,Kevin Durant,Kevin Durant,True,0.99,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/GSW-2017.png
12,2017,Golden State Warriors,Kevin Durant,Stephen Curry,False,0.55,2,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/GSW-2017.png
13,2016,Cleveland Cavaliers,LeBron James,LeBron James,True,0.97,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/CLE-2016.png
14,2015,Golden State Warriors,Andre Iguodala,Stephen Curry,False,0.92,1,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/GSW-2015.png
15,2015,Golden State Warriors,Andre Iguodala,Andre Iguodala,True,0.78,2,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/GSW-2015.png
16,2014,San Antonio Spurs,Kawhi Leonard,Kawhi Leonard,True,0.83,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/SAS-2014.png
17,2013,Miami Heat,LeBron James,LeBron James,True,0.96,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/MIA-2013.png
18,2012,Miami Heat,LeBron James,LeBron James,True,0.98,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/MIA-2012.png
19,2011,Dallas Mavericks,Dirk Nowitzki,Dirk Nowitzki,True,0.52,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/DAL-2011.png
20,2010,Los Angeles Lakers,Kobe Bryant,Kobe Bryant,True,0.89,2,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/LAL-2010.png
21,2010,Los Angeles Lakers,Kobe Bryant,Pau Gasol,False,0.9,1,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/LAL-2010.png
22,2009,Los Angeles Lakers,Kobe Bryant,Pau Gasol,False,0.9,1,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/LAL-2009.png
23,2008,Boston Celtics,Paul Pierce,Paul Pierce,True,0.74,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/BOS-2008.png
24,2008,Boston Celtics,Paul Pierce,Ray Allen,False,0.72,2,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/BOS-2008.png
25,2007,San Antonio Spurs,Tony Parker,Tony Parker,True,0.7,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/SAS-2007.png
26,2006,Miami Heat,Dwyane Wade,Dwyane Wade,True,0.99,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/MIA-2006.png
27,2005,San Antonio Spurs,Tim Duncan,Manu GinÃ³bili,False,0.97,1,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/SAS-2005.png
28,2004,Detroit Pistons,Chauncey Billups,Richard Hamilton,False,0.92,2,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/DET-2004.png
29,2004,Detroit Pistons,Chauncey Billups,Chauncey Billups,True,0.96,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/DET-2004.png
30,2003,San Antonio Spurs,Tim Duncan,Tim Duncan,True,0.91,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/SAS-2003.png
31,2002,Los Angeles Lakers,Shaquille O'Neal,Shaquille O'Neal,True,0.85,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/LAL-2002.png
32,2001,Los Angeles Lakers,Shaquille O'Neal,Shaquille O'Neal,True,0.6,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/LAL-2001.png
33,2001,Los Angeles Lakers,Shaquille O'Neal,Kobe Bryant,False,0.6,1,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/LAL-2001.png
34,2000,Los Angeles Lakers,Shaquille O'Neal,Shaquille O'Neal,True,0.91,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/LAL-2000.png
35,1999,San Antonio Spurs,Tim Duncan,Tim Duncan,True,0.99,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/SAS-1999.png
36,1997,Chicago Bulls,Michael Jordan,Michael Jordan,True,0.96,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/CHI-1997.png
37,1997,Chicago Bulls,Michael Jordan,Scottie Pippen,False,0.86,2,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/CHI-1997.png
38,1996,Chicago Bulls,Michael Jordan,Michael Jordan,True,0.79,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/CHI-1996.png
39,1995,Houston Rockets,Hakeem Olajuwon,Hakeem Olajuwon,True,0.93,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/HOU-1995.png
40,1994,Houston Rockets,Hakeem Olajuwon,Hakeem Olajuwon,True,0.96,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/HOU-1994.png
41,1993,Chicago Bulls,Michael Jordan,Michael Jordan,True,0.95,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/CHI-1993.png
42,1992,Chicago Bulls,Michael Jordan,Michael Jordan,True,0.97,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/CHI-1992.png
43,1991,Chicago Bulls,Michael Jordan,Michael Jordan,True,0.95,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/CHI-1991.png
44,1991,Chicago Bulls,Michael Jordan,Scottie Pippen,False,0.56,2,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/CHI-1991.png
45,1990,Detroit Pistons,Isiah Thomas,Isiah Thomas,True,0.98,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/DET-1990.png
46,1988,Los Angeles Lakers,James Worthy,Magic Johnson,False,0.97,1,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/LAL-1988.png
47,1987,Los Angeles Lakers,Magic Johnson,Magic Johnson,True,1.0,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/LAL-1987.png
48,1986,Boston Celtics,Larry Bird,Larry Bird,True,0.96,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/BOS-1986.png
49,1985,Los Angeles Lakers,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,True,0.94,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/LAL-1985.png
50,1985,Los Angeles Lakers,Kareem Abdul-Jabbar,James Worthy,False,0.71,3,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/LAL-1985.png
51,1985,Los Angeles Lakers,Kareem Abdul-Jabbar,Magic Johnson,False,0.83,2,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/LAL-1985.png
52,1984,Boston Celtics,Larry Bird,Larry Bird,True,1.0,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/BOS-1984.png
53,1983,Philadelphia 76ers,Moses Malone,Moses Malone,True,0.97,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/PHI-1983.png
54,1981,Boston Celtics,Cedric Maxwell,Cedric Maxwell,True,0.99,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/BOS-1981.png
55,1981,Boston Celtics,Cedric Maxwell,Larry Bird,False,0.59,2,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/BOS-1981.png
56,1980,Los Angeles Lakers,Magic Johnson,Kareem Abdul-Jabbar,False,0.99,1,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/LAL-1980.png
57,1980,Los Angeles Lakers,Magic Johnson,Magic Johnson,True,0.96,2,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/LAL-1980.png
58,1979,Seattle SuperSonics,Dennis Johnson,Jack Sikma,False,0.87,1,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/SEA-1979.png
59,1978,Washington Bullets,Wes Unseld,Elvin Hayes,False,0.8,1,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/WSB-1978.png
60,1978,Washington Bullets,Wes Unseld,Bob Dandridge,False,0.55,2,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/WSB-1978.png
61,1977,Portland Trail Blazers,Bill Walton,Bill Walton,True,0.91,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/POR-1977.png
62,1977,Portland Trail Blazers,Bill Walton,Bob Gross,False,0.84,2,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/POR-1977.png
63,1976,Boston Celtics,Jo Jo White,Jo Jo White,True,0.98,2,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/BOS-1976.png
64,1976,Boston Celtics,Jo Jo White,Dave Cowens,False,1.0,1,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/BOS-1976.png
65,1975,Golden State Warriors,Rick Barry,Rick Barry,True,0.95,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/GSW-1975.png
66,1974,Boston Celtics,John Havlicek,John Havlicek,True,0.94,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/BOS-1974.png
67,1974,Boston Celtics,John Havlicek,Jo Jo White,False,0.62,2,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/BOS-1974.png
68,1973,New York Knicks,Willis Reed,Bill Bradley,False,0.63,2,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/NYK-1973.png
69,1973,New York Knicks,Willis Reed,Walt Frazier,False,0.93,1,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/NYK-1973.png
70,1972,Los Angeles Lakers,Wilt Chamberlain,Wilt Chamberlain,True,0.99,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/LAL-1972.png
71,1971,Milwaukee Bucks,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,True,1.0,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/MIL-1971.png
72,1971,Milwaukee Bucks,Kareem Abdul-Jabbar,Oscar Robertson,False,0.69,2,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/MIL-1971.png
73,1970,New York Knicks,Willis Reed,Walt Frazier,False,0.99,1,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/NYK-1970.png
74,1969,Boston Celtics,Jerry West,John Havlicek,False,1.0,1,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/BOS-1969.png
