,Player,Age,mvp,G!,MP!,FG!,3P!,FT!,ORB!,DRB!,TRB!,AST!,STL!,BLK!,TOV!,PF!,PTS!,FG%!,3P%!,FT%!
224,Michael Jordan,32,True,1,1,1,3,1,4,3,3,2,2,5,8,5,1,5,2,3
225,Scottie Pippen,30,False,1,2,2,2,2,2,2,2,1,1,2,4,6,2,7,5,6
226,Toni KukoÄ,27,False,1,4,3,1,6,3,4,4,3,3,3,4,4,3,4,3,4
227,Luc Longley,27,False,1,5,4,7,3,5,5,5,5,7,1,7,7,4,1,7,5
228,Dennis Rodman,34,False,1,3,5,7,4,1,1,1,4,3,5,4,8,5,3,7,7
229,Ron Harper,32,False,1,6,6,4,4,6,6,6,6,5,3,1,1,6,6,4,1
230,Steve Kerr,30,False,1,7,7,4,7,7,7,7,7,8,7,3,1,7,8,6,2
231,Randy Brown,27,False,1,8,8,6,8,8,8,8,7,5,7,1,3,8,2,1,8
232,Hakeem Olajuwon,32,True,1,2,1,6,3,2,1,1,2,2,2,8,8,1,3,1,6
233,Clyde Drexler,32,False,1,3,2,5,1,1,3,3,1,5,4,5,6,2,5,6,5
234,Robert Horry,24,False,1,1,4,1,4,3,2,2,4,1,1,4,3,3,6,5,7
235,Mario Elie,31,False,1,4,3,2,5,4,4,4,5,2,5,7,3,4,1,2,3
236,Sam Cassell,25,False,1,6,5,4,2,7,6,6,6,4,5,5,3,5,7,3,4
237,Kenny Smith,29,False,1,5,6,2,8,6,8,6,3,6,5,3,2,6,8,4,8
238,Chucky Brown,26,False,1,8,7,7,6,5,5,5,7,7,3,1,1,7,4,7,1
239,Charles Jones,37,False,1,7,8,7,6,7,6,6,7,7,5,1,7,8,2,7,1
240,Hakeem Olajuwon,31,True,1,1,1,6,1,2,2,2,2,1,1,8,8,1,3,1,3
241,Vernon Maxwell,28,False,1,4,2,2,3,6,4,5,5,6,6,7,3,2,6,6,6
242,Robert Horry,23,False,1,3,4,1,4,2,3,3,1,2,2,4,7,3,7,5,7
243,Sam Cassell,24,False,1,6,6,3,2,5,6,6,5,2,3,6,5,4,4,2,2
244,Otis Thorpe,31,False,1,2,3,7,5,1,1,1,3,4,6,3,6,5,2,7,8
245,Carl Herrera,27,False,1,7,5,7,6,4,5,4,8,7,4,2,4,6,1,7,5
246,Kenny Smith,28,False,1,5,7,4,6,8,7,7,4,5,6,5,2,7,5,4,1
247,Mario Elie,30,False,1,8,8,5,8,6,8,8,7,8,4,1,1,8,8,3,4
248,Michael Jordan,29,True,1,1,1,1,1,3,3,3,2,2,4,7,6,1,4,4,2
249,Scottie Pippen,27,False,1,2,2,5,2,2,1,2,1,1,3,8,4,2,6,5,4
250,B.J. Armstrong,25,False,1,3,3,1,4,7,6,6,3,4,5,4,7,3,4,3,1
251,Horace Grant,27,False,1,4,4,5,3,1,2,1,4,3,1,4,8,4,3,5,3
252,John Paxson,32,False,1,7,5,3,7,6,7,7,7,5,5,1,2,5,2,1,7
253,Scott Williams,24,False,1,5,5,5,5,4,4,4,5,5,1,6,4,6,7,5,6
254,Bill Cartwright,35,False,1,6,7,5,5,5,5,5,5,5,5,3,3,7,8,5,5
255,Trent Tucker,33,False,1,8,8,4,7,8,8,8,8,8,8,1,1,8,1,2,7
256,Michael Jordan,28,True,1,1,1,1,1,5,4,4,2,1,4,8,5,1,3,1,1
257,Scottie Pippen,26,False,1,2,2,3,2,1,2,1,1,2,3,7,5,2,6,4,2
258,John Paxson,31,False,1,4,3,2,8,8,7,7,4,3,7,4,3,3,4,2,4
259,Horace Grant,26,False,1,3,4,5,3,3,1,2,3,4,1,3,4,4,1,5,6
260,Bill Cartwright,34,False,1,5,5,5,5,3,5,5,6,5,5,6,5,5,5,5,7
261,B.J. Armstrong,24,False,1,7,6,4,7,7,8,7,5,6,7,5,2,6,8,3,5
262,Scott Williams,23,False,1,6,7,5,4,2,3,3,7,7,2,2,5,7,2,5,3
263,Cliff Levingston,31,False,1,8,8,5,6,5,6,6,8,7,5,1,1,8,7,5,7
264,Michael Jordan,27,True,1,1,1,1,1,3,2,3,1,1,1,7,7,1,4,1,3
265,Scottie Pippen,25,False,1,2,2,2,2,1,1,1,2,2,2,8,8,2,6,3,2
266,Horace Grant,25,False,1,3,3,5,3,2,2,2,5,3,4,6,3,3,2,5,4
267,John Paxson,30,False,1,5,3,2,5,6,6,6,3,4,6,3,3,4,1,2,1
268,Bill Cartwright,33,False,1,4,5,5,4,4,4,4,4,6,4,5,6,5,7,5,5
269,Craig Hodges,30,False,1,7,6,2,6,8,7,7,8,8,6,3,2,6,8,4,6
270,Cliff Levingston,30,False,1,6,7,5,6,4,5,5,7,4,2,1,5,7,3,5,6
271,B.J. Armstrong,23,False,1,8,8,5,6,7,8,7,6,7,6,1,1,8,5,5,6
272,Isiah Thomas,28,True,1,2,1,1,2,3,2,3,1,1,5,8,6,1,2,1,4
273,Joe Dumars,26,False,1,1,2,4,1,8,7,7,2,3,7,7,1,2,6,4,2
274,James Edwards,34,False,1,5,3,5,3,3,6,5,5,4,2,3,7,3,3,5,7
275,Bill Laimbeer,32,False,1,3,5,2,6,2,1,1,3,2,2,1,8,4,4,3,1
276,Vinnie Johnson,33,False,1,7,4,5,5,5,8,8,4,7,2,6,1,5,1,5,3
277,Mark Aguirre,30,False,1,6,6,3,3,6,5,6,5,4,7,4,3,6,8,2,6
278,John Salley,25,False,1,4,7,5,7,1,4,2,8,7,1,2,5,7,7,5,5
279,Dennis Rodman,28,False,8,8,8,5,8,6,3,4,7,4,5,4,4,8,4,5,8
280,Joe Dumars,25,True,1,1,1,4,1,8,8,8,2,2,4,6,1,1,3,4,1
281,Isiah Thomas,27,False,1,2,2,1,2,6,5,6,1,1,4,8,3,2,6,2,3
282,Vinnie Johnson,32,False,1,6,3,3,4,4,4,5,3,7,4,2,2,3,2,3,7
283,James Edwards,33,False,1,5,5,4,3,2,5,4,8,7,2,4,7,4,7,4,4
284,Bill Laimbeer,31,False,1,7,5,1,5,4,1,2,4,2,7,4,6,5,5,1,2
285,Mark Aguirre,29,False,1,3,5,4,5,1,2,1,5,2,7,7,3,6,8,4,4
286,John Salley,24,False,1,8,4,4,7,6,5,6,6,5,1,2,5,6,1,4,8
287,Rick Mahorn,30,False,1,4,8,4,7,2,2,2,7,5,2,1,8,8,4,4,6
288,James Worthy,26,True,1,3,1,4,2,1,3,2,2,4,2,7,3,1,5,4,4
289,Magic Johnson,28,False,1,1,3,3,1,6,2,3,1,1,6,8,8,2,3,2,2
290,Byron Scott,26,False,1,2,2,1,3,4,4,4,4,2,3,6,4,3,6,1,3
291,Kareem Abdul-Jabbar,40,False,1,5,4,4,5,4,5,5,5,5,1,5,5,4,7,4,6
292,A.C. Green,24,False,1,4,5,4,4,2,1,1,6,6,7,3,5,5,2,4,5
293,Mychal Thompson,33,False,1,7,6,4,6,3,6,6,7,7,3,4,2,6,4,4,8
294,Michael Cooper,31,False,1,6,7,2,7,7,7,7,3,3,5,2,5,7,8,3,7
295,Tony Campbell,25,False,8,8,8,4,8,8,8,8,8,7,7,1,1,8,1,4,1
296,Magic Johnson,27,True,1,2,1,2,2,3,1,1,1,1,4,7,1,1,2,2,2
297,Kareem Abdul-Jabbar,39,False,1,3,3,4,1,1,2,2,5,5,1,5,6,2,5,4,7
298,James Worthy,25,False,1,1,2,4,4,3,4,3,3,2,3,6,3,3,4,4,8
299,Michael Cooper,30,False,1,5,5,1,8,8,6,8,2,2,4,7,4,4,3,1,1
300,Byron Scott,25,False,1,4,4,2,4,6,7,6,4,5,7,4,6,5,7,3,3
301,Mychal Thompson,32,False,1,6,6,4,3,5,3,4,6,4,2,2,8,6,1,4,5
302,A.C. Green,23,False,1,7,7,4,6,1,5,4,8,7,4,3,5,7,6,4,6
303,Kurt Rambis,28,False,1,8,8,4,7,7,7,7,7,8,8,1,2,8,8,4,4
304,Kevin McHale,28,False,1,3,1,4,1,1,2,2,4,4,1,8,7,1,3,4,4
305,Larry Bird,29,True,1,1,2,1,3,5,1,1,1,1,4,6,5,2,5,2,1
306,Dennis Johnson,31,False,1,2,4,3,2,4,4,5,3,3,4,7,4,3,7,3,3
307,Danny Ainge,26,False,1,4,3,2,4,6,6,6,2,2,6,4,8,4,4,1,2
308,Robert Parish,32,False,1,5,5,4,5,2,5,3,7,5,2,4,3,5,8,4,5
309,Bill Walton,33,False,1,6,6,4,6,3,3,4,4,5,3,3,5,6,2,4,5
310,Jerry Sichting,29,False,1,7,7,4,7,7,7,7,4,7,7,2,2,7,6,4,7
311,Rick Carlisle,26,False,8,8,8,4,7,8,8,8,8,7,7,1,1,8,1,4,7
312,Kareem Abdul-Jabbar,37,True,1,3,1,4,3,1,2,1,2,5,1,7,8,1,1,4,3
313,James Worthy,23,False,1,2,2,4,1,3,4,4,4,6,2,4,1,2,3,4,5
314,Magic Johnson,25,False,1,1,3,3,2,6,1,3,1,2,8,8,4,3,6,1,2
315,Byron Scott,23,False,1,4,4,1,7,4,5,5,5,1,6,4,1,4,7,2,7
316,Michael Cooper,28,False,1,5,6,1,4,8,8,8,3,4,5,2,4,5,2,2,1
317,Bob McAdoo,33,False,1,7,5,4,7,6,6,7,6,8,2,6,7,6,8,4,4
318,Kurt Rambis,26,False,1,6,7,4,6,2,3,2,6,3,2,3,1,7,5,4,8
319,Mitch Kupchak,30,False,1,8,8,4,5,4,7,6,8,7,6,1,6,8,4,4,6
320,Larry Bird,27,True,1,1,1,1,1,2,1,1,3,1,2,8,4,1,1,1,3
321,Dennis Johnson,29,False,1,3,2,3,3,7,5,5,1,2,4,7,7,2,8,2,1
322,Robert Parish,30,False,1,2,3,5,5,1,2,2,7,2,1,4,8,3,6,5,6
323,Kevin McHale,26,False,1,5,5,5,4,3,3,3,8,7,2,3,4,4,5,5,4
324,Cedric Maxwell,28,False,1,4,6,5,2,4,4,4,4,5,4,4,4,5,4,5,2
325,Gerald Henderson,28,False,1,6,4,5,6,6,7,7,2,4,6,4,3,6,2,5,5
326,Danny Ainge,24,False,1,7,7,3,7,8,8,8,5,6,6,1,2,7,7,4,7
327,Scott Wedman,31,False,8,8,8,2,8,5,6,5,6,8,6,2,1,8,3,2,8
328,Moses Malone,27,True,1,1,1,1,1,1,1,1,5,3,3,6,7,1,4,1,5
329,Andrew Toney,25,False,1,3,2,1,2,5,8,6,2,4,5,8,5,2,6,1,1
330,Julius Erving,32,False,1,2,2,1,3,2,2,2,3,4,1,5,5,3,5,1,2
331,Maurice Cheeks,26,False,1,4,4,1,4,8,6,6,1,1,8,6,4,4,3,1,6
332,Bobby Jones,31,False,1,5,5,1,5,2,4,4,4,2,2,4,2,5,2,1,4
333,Clint Richardson,26,False,1,7,6,1,6,6,5,5,7,4,5,2,2,6,7,1,3
334,Marc Iavaroni,26,False,1,6,7,1,6,4,3,3,5,7,4,3,7,7,1,1,7
335,Clemon Johnson,26,False,8,8,8,1,8,6,7,6,8,7,5,1,1,8,8,1,8
336,Jamaal Wilkes,28,False,1,3,1,2,3,2,6,4,5,3,7,7,4,1,8,2,2
337,Kareem Abdul-Jabbar,34,False,1,4,3,2,2,4,2,2,3,4,1,6,4,2,4,2,6
338,Norm Nixon,26,False,1,2,2,2,4,5,7,7,1,2,6,5,2,3,7,2,4
339,Bob McAdoo,30,False,1,5,4,2,4,5,3,5,7,6,2,3,7,4,1,2,5
340,Magic Johnson,22,True,1,1,5,2,1,1,1,1,2,1,4,8,8,5,3,2,1
341,Michael Cooper,25,False,1,6,5,1,6,7,5,6,4,4,4,4,2,6,2,1,2
342,Kurt Rambis,23,False,1,7,7,2,7,2,3,3,6,6,3,2,4,7,5,2,7
343,Mike McGee,22,False,8,8,8,2,8,8,8,8,8,8,7,1,1,8,6,2,8
344,Cedric Maxwell,25,True,1,2,1,3,1,1,3,2,3,7,2,6,7,1,1,3,5
345,Larry Bird,24,False,1,1,2,2,3,2,1,1,1,1,4,6,5,2,7,1,3
346,Robert Parish,27,False,1,5,2,3,4,2,2,3,6,2,1,6,8,3,4,3,7
347,Chris Ford,32,False,1,4,4,1,6,4,5,5,4,3,7,4,3,4,5,2,4
348,Tiny Archibald,32,False,1,3,5,3,2,8,6,8,2,3,7,5,3,5,8,3,1
349,Rick Robey,25,False,1,7,6,3,5,5,4,4,8,8,6,3,6,6,2,3,8
350,Gerald Henderson,25,False,1,8,6,3,8,5,7,6,5,3,5,2,1,7,3,3,2
351,M.L. Carr,30,False,1,6,8,3,7,5,7,6,6,3,3,1,1,8,6,3,6
352,Kareem Abdul-Jabbar,32,False,7,4,1,1,2,3,1,1,5,6,1,6,4,1,3,1,5
353,Magic Johnson,20,True,1,1,3,1,1,2,2,2,1,1,4,8,2,2,2,1,2
354,Jamaal Wilkes,26,False,1,3,2,1,4,1,5,3,4,4,6,4,8,3,5,1,3
355,Norm Nixon,24,False,1,2,4,1,3,7,6,7,2,2,6,7,3,4,6,1,6
356,Michael Cooper,23,False,1,5,5,1,5,6,7,6,3,3,2,3,6,5,8,1,4
357,Jim Chones,30,False,1,5,6,1,6,4,3,4,6,4,2,5,6,6,4,1,7
358,Mark Landsberger,24,False,1,7,7,1,8,4,4,5,7,6,4,2,5,7,7,1,8
359,Brad Holland,23,False,8,8,8,1,7,8,8,8,7,6,8,1,1,8,1,1,1
360,Gus Williams,25,False,1,4,1,1,1,4,6,6,3,5,3,7,3,1,2,1,5
361,Dennis Johnson,24,True,1,1,2,1,2,5,3,4,2,1,2,7,5,2,6,1,2
362,Jack Sikma,23,False,1,2,3,1,4,3,1,1,5,3,1,5,7,3,1,1,4
363,John Johnson,31,False,1,3,4,1,3,1,2,2,1,3,7,6,4,4,7,1,3
364,Fred Brown,30,False,1,7,6,1,5,7,7,7,4,5,3,3,2,5,4,1,1
365,Lonnie Shelton,23,False,1,5,5,1,6,1,4,3,6,2,3,4,8,6,8,1,6
366,Paul Silas,35,False,1,6,7,1,7,6,5,5,7,7,3,2,5,7,5,1,6
367,Dennis Awtrey,30,False,8,8,8,1,8,8,8,8,8,7,7,1,1,8,2,1,8
368,Elvin Hayes,32,False,1,2,1,1,3,1,2,1,6,2,1,7,8,1,3,1,7
369,Bob Dandridge,30,False,1,1,2,1,2,4,3,3,2,4,2,8,7,2,4,1,6
370,Kevin Grevey,24,False,1,5,3,1,4,5,5,5,5,7,3,4,5,3,7,1,2
371,Tom Henderson,26,False,1,4,5,1,1,7,6,6,1,1,3,4,4,4,5,1,3
372,Charles Johnson,28,False,1,6,4,1,7,6,7,7,4,2,7,3,1,5,6,1,3
373,Mitch Kupchak,23,False,1,7,5,1,5,3,4,4,8,8,5,6,3,5,1,1,5
374,Wes Unseld,31,True,1,3,7,1,6,2,1,2,3,5,6,2,6,7,2,1,8
375,Larry Wright,23,False,1,8,8,1,8,8,8,8,6,6,7,1,1,8,8,1,1
376,Maurice Lucas,24,False,1,2,3,1,1,3,2,2,4,1,2,1,8,1,5,1,6
377,Bill Walton,24,True,1,1,1,1,4,1,1,1,1,5,1,1,6,2,2,1,4
378,Bob Gross,23,False,1,5,2,1,6,2,4,4,4,1,4,1,7,3,1,1,1
379,Lionel Hollins,23,False,1,3,4,1,2,6,6,6,3,4,4,1,5,4,8,1,7
380,Johnny Davis,21,False,1,4,5,1,3,5,5,5,2,1,7,1,4,5,6,1,3
381,Lloyd Neal,26,False,1,7,6,1,7,4,3,3,6,8,3,1,2,6,3,1,5
382,Dave Twardzik,26,False,1,6,7,1,5,8,7,7,7,5,6,1,2,6,4,1,8
383,Herm Gilliam,30,False,8,8,8,1,8,7,8,8,7,7,7,1,1,8,7,1,2
384,Jo Jo White,29,True,1,1,2,1,1,6,3,5,1,2,6,1,5,1,4,1,3
385,Dave Cowens,27,False,1,2,1,1,2,2,1,1,3,3,2,1,7,2,2,1,8
386,John Havlicek,35,False,1,3,3,1,2,4,5,4,2,5,1,1,4,3,7,1,7
387,Charlie Scott,27,False,1,5,4,1,4,3,3,3,3,1,2,1,8,4,8,1,4
388,Paul Silas,32,False,1,4,5,1,4,1,2,2,5,3,6,1,6,5,3,1,6
389,Steve Kuberski,28,False,1,6,6,1,6,5,6,6,7,7,5,1,3,6,5,1,1
390,Don Nelson,35,False,1,7,7,1,7,6,7,7,8,6,6,1,1,7,6,1,1
391,Jim Ard,27,False,8,8,7,1,8,6,8,8,6,7,2,1,1,8,1,1,5
392,Rick Barry,30,True,1,1,1,1,1,5,5,5,1,1,3,1,5,1,4,1,2
393,Jamaal Wilkes,21,False,1,3,2,1,3,2,1,2,7,3,3,1,2,2,8,1,3
394,Phil Smith,22,False,1,5,4,1,2,4,7,8,3,7,2,1,7,3,5,1,4
395,Derrek Dickey,23,False,1,8,3,1,7,5,3,3,8,8,7,1,5,4,1,1,1
396,Jeff Mullins,32,False,1,6,4,1,8,3,8,6,6,6,5,1,1,5,3,1,8
397,Charles Johnson,25,False,1,4,6,1,5,7,4,4,4,4,5,1,3,6,7,1,6
398,Butch Beard,27,False,1,7,8,1,4,8,5,6,4,2,7,1,8,7,6,1,5
399,Clifford Ray,26,False,1,2,7,1,5,1,2,1,2,4,1,1,4,8,2,1,7
400,John Havlicek,33,True,1,1,1,1,1,4,3,3,2,2,4,1,6,1,6,1,3
401,Dave Cowens,25,False,1,3,2,1,2,1,1,1,3,4,1,1,8,2,5,1,5
402,Jo Jo White,27,False,1,2,3,1,5,5,5,6,1,3,4,1,3,3,1,1,6
403,Don Chaney,27,False,1,4,4,1,3,2,6,5,5,1,1,1,7,4,3,1,2
404,Paul Silas,30,False,1,5,5,1,4,3,1,2,4,4,3,1,2,5,8,1,4
405,Don Nelson,33,False,1,6,5,1,6,7,4,4,7,7,4,1,3,6,2,1,8
406,Paul Westphal,23,False,1,7,7,1,7,8,7,8,6,6,4,1,5,7,7,1,7
407,Hank Finkel,31,False,1,8,8,1,8,6,8,7,8,7,4,1,1,8,4,1,1
408,Bill Bradley,29,False,1,2,1,1,1,1,1,5,3,1,1,1,4,1,5,1,1
409,Walt Frazier,27,False,1,1,3,1,1,1,1,3,1,1,1,1,5,2,4,1,7
410,Willis Reed,30,True,1,5,2,1,6,1,1,2,5,1,1,1,8,3,3,1,2
411,Earl Monroe,28,False,1,4,4,1,3,1,1,7,2,1,1,1,2,4,1,1,6
412,Dave DeBusschere,32,False,1,3,5,1,3,1,1,1,6,1,1,1,7,5,6,1,4
413,Phil Jackson,27,False,1,6,7,1,5,1,1,4,6,1,1,1,5,6,8,1,3
414,Jerry Lucas,32,False,1,7,6,1,7,1,1,6,4,1,1,1,3,7,7,1,4
415,Dean Meminger,24,False,1,8,8,1,8,1,1,8,8,1,1,1,1,8,2,1,8
416,Gail Goodrich,28,False,1,5,1,1,1,1,1,6,2,1,1,1,8,1,3,1,3
417,Jerry West,33,False,1,3,3,1,2,1,1,5,1,1,1,1,3,2,7,1,4
418,Wilt Chamberlain,35,True,1,1,2,1,4,1,1,1,2,1,1,1,7,3,1,1,7
419,Jim McMillian,23,False,1,2,4,1,3,1,1,3,4,1,1,1,6,4,6,1,2
420,Happy Hairston,29,False,1,4,5,1,5,1,1,2,4,1,1,1,4,5,4,1,5
421,Pat Riley,26,False,1,6,6,1,6,1,1,7,7,1,1,1,4,6,8,1,6
422,Leroy Ellis,31,False,1,7,7,1,7,1,1,3,6,1,1,1,2,7,2,1,8
423,Flynn Robinson,30,False,8,8,8,1,7,1,1,8,8,1,1,1,1,8,5,1,1
424,Kareem Abdul-Jabbar,23,True,1,1,1,1,2,1,1,1,3,1,1,1,4,1,1,1,5
425,Oscar Robertson,32,False,1,2,3,1,1,1,1,4,1,1,1,1,8,2,3,1,4
426,Bob Dandridge,23,False,1,3,2,1,3,1,1,2,2,1,1,1,7,3,4,1,6
427,Jon McGlocklin,27,False,1,5,5,1,5,1,1,8,3,1,1,1,3,4,2,1,2
428,Greg Smith,24,False,1,4,4,1,7,1,1,3,5,1,1,1,4,5,5,1,7
429,Lucius Allen,23,False,1,6,6,1,4,1,1,6,5,1,1,1,2,6,7,1,1
430,Bob Boozer,33,False,1,7,7,1,6,1,1,5,7,1,1,1,4,7,6,1,3
431,McCoy McLemore,28,False,8,8,8,1,8,1,1,7,7,1,1,1,1,8,8,1,7
432,Willis Reed,27,True,8,5,2,1,3,1,1,2,5,1,1,1,4,1,3,1,8
433,Dave DeBusschere,29,False,1,3,1,1,4,1,1,1,4,1,1,1,6,2,4,1,7
434,Dick Barnett,33,False,1,2,3,1,2,1,1,7,2,1,1,1,8,3,5,1,5
435,Walt Frazier,24,False,1,1,4,1,1,1,1,3,1,1,1,1,5,4,1,1,6
436,Bill Bradley,26,False,1,4,5,1,5,1,1,5,3,1,1,1,7,5,7,1,3
437,Cazzie Russell,25,False,1,6,6,1,6,1,1,6,7,1,1,1,2,6,2,1,1
438,Dave Stallworth,28,False,1,7,7,1,6,1,1,4,6,1,1,1,1,7,6,1,1
439,Mike Riordan,24,False,1,8,8,1,8,1,1,8,7,1,1,1,2,8,8,1,4
440,John Havlicek,28,False,1,1,1,1,1,1,1,2,2,1,1,1,4,1,3,1,4
441,Sam Jones,35,False,1,4,2,1,3,1,1,6,5,1,1,1,2,2,1,1,5
442,Larry Siegfried,29,False,1,6,3,1,2,1,1,7,3,1,1,1,7,3,7,1,2
443,Don Nelson,28,False,1,7,4,1,3,1,1,3,6,1,1,1,3,4,4,1,6
444,Em Bryant,30,False,1,3,5,1,5,1,1,5,4,1,1,1,5,5,5,1,3
445,Bailey Howell,32,False,1,5,5,1,7,1,1,4,7,1,1,1,8,6,8,1,7
446,Bill Russell,34,False,1,1,7,1,6,1,1,1,1,1,1,1,6,7,6,1,8
447,Tom Sanders,30,False,8,8,8,1,8,1,1,8,8,1,1,1,1,8,2,1,1
